2022-05-15 12:05:374 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:263 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:21 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (62c58c7f4ec8deb618489484802b4869)] -> link text: Log in]
2022-05-15 12:05:85 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (62c58c7f4ec8deb618489484802b4869)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:696 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:617 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (87c6aa140a680c136164939b4793a5e7)] -> link text: Log in]
2022-05-15 12:05:678 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (87c6aa140a680c136164939b4793a5e7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:97 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:504 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (77df74d6fe49482c4e96f70189cc1b2c)] -> link text: Log in]
2022-05-15 12:05:569 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (77df74d6fe49482c4e96f70189cc1b2c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:524 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:168 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (36696933a309eaec3cc911487500c6cd)] -> link text: Log in]
2022-05-15 12:05:220 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (36696933a309eaec3cc911487500c6cd)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:789 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:582 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1d6fb660f2b7e602e7eb93131fabb137)] -> link text: Log in]
2022-05-15 12:05:637 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1d6fb660f2b7e602e7eb93131fabb137)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:491 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:483 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1336aede4288c81ada31837b743a4727)] -> link text: Log in]
2022-05-15 12:05:217 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:867 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3686f0b001e4c56ef50427f1a42c79a7)] -> link text: Log in]
2022-05-15 12:05:924 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3686f0b001e4c56ef50427f1a42c79a7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 12:05:955 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:67 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1198e25624c5e994c3d3d945805494a3)] -> link text: Log in]
2022-05-15 12:05:489 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:292 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1c6bf391a00585e7a942e43a17074abd)] -> link text: Log in]
2022-05-15 12:05:676 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:298 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c6cd46e80a42c6d524468254024a3310)] -> link text: Log in]
2022-05-15 12:05:870 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c6cd46e80a42c6d524468254024a3310)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:184 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:34 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:15 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:78 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:473 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:403 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:652 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:816 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:748 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:794 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:221 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:624 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:179 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:457 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:279 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:758 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:283 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:891 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:882 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:463 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:521 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:728 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:921 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:464 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:90 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:753 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:742 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:27 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:98 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:281 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:519 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:282 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:156 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:852 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:663 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:18 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:252 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:301 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:660 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:319 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:535 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:370 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:596 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:903 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:194 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:198 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:57 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:187 INFO  ManageDriver :32 - Launching Chrome Browser
